Animal_ID,Treatment,Coverage,Perc_Cov
1:01,Control,15.46,0.1546
1:01,Control,18.292,0.18292
1:01,Control,17.602,0.17602
1:01,Control,12.876,0.12876
1:01,Control,23.84,0.2384
1:01,Control,17.6,0.176
1:01,Control,19.702,0.19702
1:01,Control,18.232,0.18232
1:01,Control,13.654,0.13654
1:05,Control,18.412,0.18412
1:05,Control,11.24,0.1124
1:05,Control,18.844,0.18844
1:05,Control,14.241,0.14241
1:05,Control,16.276,0.16276
1:05,Control,17.513,0.17513
1:05,Control,18.063,0.18063
1:05,Control,19.426,0.19426
1:05,Control,16.552,0.16552
1:06,Control,14.86,0.1486
1:06,Control,10.314,0.10314
1:06,Control,8.959,0.08959
1:06,Control,15.009,0.15009
1:06,Control,12.883,0.12883
1:06,Control,15.85,0.1585
1:06,Control,9.945,0.09945
1:06,Control,9.275,0.09275
1:06,Control,13.724,0.13724
1:07,Control,22.696,0.22696
1:07,Control,19.616,0.19616
1:07,Control,14.391,0.14391
1:07,Control,19.154,0.19154
1:07,Control,21.931,0.21931
1:07,Control,14.831,0.14831
1:07,Control,12.83,0.1283
1:07,Control,13.838,0.13838
1:07,Control,17.213,0.17213
1:08,Control,17.467,0.17467
1:08,Control,21.654,0.21654
1:08,Control,17.38,0.1738
1:08,Control,19.427,0.19427
1:08,Control,21.12,0.2112
1:08,Control,17.123,0.17123
1:08,Control,14.719,0.14719
1:08,Control,21.425,0.21425
1:08,Control,26.894,0.26894
1:12,PLX,15.302,0.15302
1:12,PLX,16.109,0.16109
1:12,PLX,16.719,0.16719
1:12,PLX,15.07,0.1507
1:12,PLX,15.516,0.15516
1:12,PLX,12.262,0.12262
1:12,PLX,9.615,0.09615
1:12,PLX,10.892,0.10892
1:12,PLX,14.936,0.14936
1:13,PLX,15.369,0.15369
1:13,PLX,16.791,0.16791
1:13,PLX,9.52,0.0952
1:13,PLX,10.314,0.10314
1:13,PLX,9.454,0.09454
1:13,PLX,12.391,0.12391
1:13,PLX,10.442,0.10442
1:13,PLX,9.134,0.09134
1:13,PLX,11.326,0.11326
1:15,PLX,10.327,0.10327
1:15,PLX,15.108,0.15108
1:15,PLX,13.322,0.13322
1:15,PLX,13.498,0.13498
1:15,PLX,12.315,0.12315
1:15,PLX,21.207,0.21207
1:15,PLX,15.936,0.15936
1:15,PLX,10.028,0.10028
1:15,PLX,16.166,0.16166
1:16,PLX,12.688,0.12688
1:16,PLX,15.65,0.1565
1:16,PLX,13.236,0.13236
1:16,PLX,18.318,0.18318
1:16,PLX,16.317,0.16317
1:16,PLX,13.828,0.13828
1:16,PLX,13.289,0.13289
1:16,PLX,10.839,0.10839
1:16,PLX,20.909,0.20909
2:02,Control,19.498,0.19498
2:02,Control,16.135,0.16135
2:02,Control,24.388,0.24388
2:02,Control,18.926,0.18926
2:02,Control,21.509,0.21509
2:02,Control,19.157,0.19157
2:02,Control,22.293,0.22293
2:02,Control,23.786,0.23786
2:02,Control,25.587,0.25587
2:03,Control,22.9,0.229
2:03,Control,20.629,0.20629
2:03,Control,23.665,0.23665
2:03,Control,22.068,0.22068
2:03,Control,19.314,0.19314
2:03,Control,16.253,0.16253
2:03,Control,17.762,0.17762
2:03,Control,20.743,0.20743
2:03,Control,14.401,0.14401
2:05,Control,21.737,0.21737
2:05,Control,14.13,0.1413
2:05,Control,18.237,0.18237
2:05,Control,14.152,0.14152
2:05,Control,19.782,0.19782
2:05,Control,15.946,0.15946
2:05,Control,18.016,0.18016
2:05,Control,20.651,0.20651
2:05,Control,19.602,0.19602
2:07,Control,24.167,0.24167
2:07,Control,17.624,0.17624
2:07,Control,21.766,0.21766
2:07,Control,17.664,0.17664
2:07,Control,18.716,0.18716
2:07,Control,18.707,0.18707
2:07,Control,17.944,0.17944
2:07,Control,23.779,0.23779
2:07,Control,17.802,0.17802
2:09,PLX,21.978,0.21978
2:09,PLX,25.233,0.25233
2:09,PLX,21.613,0.21613
2:09,PLX,23.629,0.23629
2:09,PLX,21.036,0.21036
2:09,PLX,22.743,0.22743
2:09,PLX,27.437,0.27437
2:09,PLX,24.246,0.24246
2:09,PLX,19.07,0.1907
2:01,PLX,21.934,0.21934
2:01,PLX,20.34,0.2034
2:01,PLX,19.482,0.19482
2:01,PLX,19.05,0.1905
2:01,PLX,20.908,0.20908
2:01,PLX,17.011,0.17011
2:01,PLX,18.68,0.1868
2:01,PLX,23.308,0.23308
2:01,PLX,16.242,0.16242
2:13,PLX,23.826,0.23826
2:13,PLX,27.677,0.27677
2:13,PLX,29.141,0.29141
2:13,PLX,19.559,0.19559
2:13,PLX,20.636,0.20636
2:13,PLX,13.277,0.13277
2:13,PLX,22.711,0.22711
2:13,PLX,23.503,0.23503
2:13,PLX,9.128,0.09128
2:15,PLX,27.68,0.2768
2:15,PLX,28.06,0.2806
2:15,PLX,25.634,0.25634
2:15,PLX,21.234,0.21234
2:15,PLX,24.155,0.24155
2:15,PLX,9.196,0.09196
2:15,PLX,21.41,0.2141
2:15,PLX,22.261,0.22261
2:15,PLX,21.728,0.21728
2:01,Control,9.333,0.09333
2:01,Control,21.35,0.2135
2:01,Control,15.822,0.15822
2:01,Control,13.527,0.13527
2:01,Control,6.59,0.0659
2:01,Control,10.071,0.10071
2:01,Control,9.922,0.09922
2:01,Control,11.069,0.11069
2:01,Control,15.188,0.15188
2:04,Control,20.141,0.20141
2:04,Control,13.811,0.13811
2:04,Control,12.678,0.12678
2:04,Control,17.668,0.17668
2:04,Control,15.036,0.15036
2:04,Control,15.086,0.15086
2:04,Control,10.068,0.10068
2:04,Control,11.778,0.11778
2:04,Control,16.814,0.16814
2:06,Control,22.976,0.22976
2:06,Control,18.39,0.1839
2:06,Control,15.426,0.15426
2:06,Control,15.126,0.15126
2:06,Control,17.893,0.17893
2:06,Control,16.115,0.16115
2:06,Control,8.697,0.08697
2:06,Control,15,0.15
2:06,Control,13.172,0.13172
2:08,Control,19.618,0.19618
2:08,Control,22.998,0.22998
2:08,Control,14.893,0.14893
2:08,Control,19.408,0.19408
2:08,Control,16.914,0.16914
2:08,Control,16.129,0.16129
2:08,Control,7.917,0.07917
2:08,Control,20.431,0.20431
2:08,Control,16.11,0.1611
2:11,PLX,25.733,0.25733
2:11,PLX,20.552,0.20552
2:11,PLX,22.225,0.22225
2:11,PLX,18.318,0.18318
2:11,PLX,23.87,0.2387
2:11,PLX,17.916,0.17916
2:11,PLX,18.506,0.18506
2:11,PLX,21.385,0.21385
2:11,PLX,21.228,0.21228
2:12,PLX,19.577,0.19577
2:12,PLX,11.507,0.11507
2:12,PLX,25.446,0.25446
2:12,PLX,18.427,0.18427
2:12,PLX,19.404,0.19404
2:12,PLX,24.324,0.24324
2:12,PLX,18.57,0.1857
2:12,PLX,16.989,0.16989
2:12,PLX,16.258,0.16258
2:14,PLX,20.716,0.20716
2:14,PLX,18.634,0.18634
2:14,PLX,19.328,0.19328
2:14,PLX,21.04,0.2104
2:14,PLX,17.144,0.17144
2:14,PLX,17.021,0.17021
2:14,PLX,16.623,0.16623
2:14,PLX,22.57,0.2257
2:14,PLX,18.743,0.18743
2:16,PLX,26.921,0.26921
2:16,PLX,23.222,0.23222
2:16,PLX,19.784,0.19784
2:16,PLX,18.786,0.18786
2:16,PLX,22.395,0.22395
2:16,PLX,17.021,0.17021
2:16,PLX,16.894,0.16894
2:16,PLX,18.993,0.18993
2:16,PLX,21.549,0.21549
